time;airline;flight_number;transaction;terminal;gate;remark
2015-01-01T00:18:00;US Airways;US840;DEP;1;26;
2015-01-01T00:20:00;Delta Airlines;DL806;DEP;1;40;
2015-01-01T05:52:00;Frontier Airlines;F91056;DEP;1;24;
2015-01-01T05:53:00;Southwest;WN526;DEP;1;31;Departed
2015-01-01T05:54:00;Southwest;WN597;DEP;1;30;Departed
2015-01-01T05:57:00;US Airways;US610;DEP;1;26;
2015-01-01T06:04:00;Delta Airlines;DL1723;DEP;1;42;
2015-01-01T06:12:00;Delta Airlines;DL1152;ARR;1;42;
2015-01-01T06:16:00;Delta Airlines;DL1866;DEP;1;41;
2015-01-01T06:28:00;Delta Airlines;DL418;DEP;1;46;
2015-01-01T06:36:00;Delta Airlines;DL2566;DEP;1;44;
2015-01-01T07:01:00;Delta Airlines;DL854;DEP;1;40;
2015-12-31T07:10:00;US Airways;US748;DEP;1;23;
2016-01-01T07:34:00;Southwest;WN320;DEP;2;32A;Departed
2017-01-01T07:34:00;Southwest;WN320;DEP;3;32A;Departed
2018-01-01T07:34:00;Southwest;WN320;DEP;I;32A;Departed
2019-01-01T07:34:00;Southwest;WN320;DEP;1;32A;Departed
